Time;tryck;Ton
0.00;29.1;0.0
0.05;28.6;0.0
0.10;25.4;0.0
0.15;24.4;0.0
0.20;21.6;0.0
0.25;22.8;0.0
0.30;24.4;0.0
0.35;26.4;0.0
0.40;30.1;0.0
0.45;26.7;0.0
0.50;24.4;0.0
0.55;24.2;0.0
0.60;21.6;0.0
0.65;25.1;0.0
0.70;25.5;0.0
0.75;27.3;0.0
0.80;30.2;0.0
0.85;25.0;0.0
0.90;24.3;0.0
0.95;23.4;0.0
1.00;22.9;0.0
1.05;26.3;0.0
1.10;27.2;0.0
1.15;29.4;0.0
1.20;27.0;0.0
1.25;23.9;0.0
1.30;23.7;0.0
1.35;21.2;0.0
1.40;24.3;0.0
1.45;27.0;0.0
1.50;27.3;0.0
1.55;30.2;0.0
1.60;25.2;0.0
1.65;23.7;0.0
1.70;20.3;0.0
1.75;22.0;0.0
1.80;25.9;0.0
1.85;27.7;0.0
1.90;29.9;0.0
1.95;27.3;0.0
2.00;25.0;0.0
2.05;21.9;0.0
2.10;18.6;0.0
2.15;23.5;0.0
2.20;25.6;0.0
2.25;29.3;0.0
2.30;29.7;0.0
2.35;24.3;0.0
2.40;25.3;0.0
2.45;20.7;0.0
2.50;19.8;0.0
2.55;26.5;0.0
2.60;26.9;0.0
2.65;31.7;0.0
2.70;29.1;0.0
2.75;26.0;0.0
2.80;25.5;0.0
2.85;19.0;0.0
2.90;22.2;0.0
2.95;26.2;0.0
3.00;27.1;0.0
3.05;31.5;0.0
3.10;26.5;0.0
3.15;25.1;0.0
3.20;23.4;0.0
3.25;19.1;0.0
3.30;23.7;0.0
3.35;25.7;0.0
3.40;30.1;0.0
3.45;31.0;0.0
3.50;25.2;0.0
3.55;23.5;0.0
3.60;21.6;0.0
3.65;19.8;0.0
3.70;24.6;0.0
3.75;28.5;0.0
3.80;31.1;0.0
3.85;29.4;0.0
3.90;23.8;0.0
3.95;22.3;0.0
4.00;21.6;0.0
4.05;20.8;0.0
4.10;27.0;0.0
4.15;30.0;0.0
4.20;30.7;0.0
4.25;28.4;0.0
4.30;22.4;0.0
4.35;21.6;0.0
4.40;22.0;0.0
4.45;23.9;0.0
4.50;27.8;0.0
4.55;29.9;0.0
4.60;29.1;0.0
4.65;26.0;0.0
4.70;22.9;0.0
4.75;21.5;0.0
4.80;23.1;0.0
4.85;25.2;0.0
4.90;29.7;0.0
4.95;30.1;0.0
5.00;27.1;0.0
5.05;24.3;0.0
5.10;22.1;0.0
5.15;21.8;0.0
5.20;24.0;0.0
5.25;25.5;0.0
5.30;28.9;0.0
5.35;28.7;0.0
5.40;25.6;0.0
5.45;23.6;0.0
5.50;19.9;0.1
5.55;16.6;0.0
5.60;16.5;0.0
5.65;16.8;0.0
5.70;19.6;0.0
5.75;16.0;0.0
5.80;14.1;0.0
5.85;12.8;0.0
5.90;9.7;0.0
5.95;13.0;0.0
6.00;13.8;0.0
6.05;17.3;0.0
6.10;17.8;0.0
6.15;13.6;0.0
6.20;12.1;0.0
6.25;10.3;0.0
6.30;11.7;0.0
6.35;13.8;0.0
6.40;16.8;0.0
6.45;17.8;0.0
6.50;15.4;0.0
6.55;14.3;0.0
6.60;9.8;0.0
6.65;12.3;0.0
6.70;12.6;0.0
6.75;14.3;0.0
6.80;17.8;0.0
6.85;15.0;0.0
6.90;15.2;0.0
6.95;11.7;0.0
7.00;10.0;0.0
7.05;13.5;0.0
7.10;10.5;0.0
7.15;16.2;0.0
7.20;15.4;0.0
7.25;15.0;0.0
7.30;15.8;0.0
7.35;11.4;0.0
7.40;11.8;0.0
7.45;10.7;0.0
7.50;12.4;0.0
7.55;16.4;0.0
7.60;16.3;0.0
7.65;17.0;0.0
7.70;13.5;0.0
7.75;11.4;0.0
7.80;10.6;0.0
7.85;10.9;0.0
7.90;12.6;0.0
7.95;16.4;0.0
8.00;16.0;0.0
8.05;15.1;0.0
8.10;13.3;0.0
8.15;10.5;0.0
8.20;9.7;0.0
8.25;12.7;0.0
8.30;13.5;0.0
8.35;16.8;0.0
8.40;16.2;0.0
8.45;14.1;0.0
8.50;13.2;0.0
8.55;9.3;0.0
8.60;10.8;0.0
8.65;13.5;0.0
8.70;15.2;0.0
8.75;18.7;0.1
8.80;14.8;0.0
8.85;13.0;0.0
8.90;10.5;0.0
8.95;9.0;0.0
9.00;13.3;0.0
9.05;13.9;0.0
9.10;17.6;0.0
9.15;16.7;0.0
9.20;13.5;0.0
9.25;12.1;0.0
9.30;9.7;0.0
9.35;11.9;0.0
9.40;13.1;0.0
9.45;17.8;0.0
9.50;17.5;0.0
9.55;14.6;0.0
9.60;14.4;0.1
9.65;8.5;0.1
9.70;12.4;0.1
9.75;11.0;0.1
9.80;14.4;0.1
9.85;17.9;0.2
9.90;14.1;0.2
9.95;16.3;0.2
10.00;11.6;0.2
10.05;9.9;0.2
10.10;13.1;0.2
10.15;8.7;0.2
10.20;16.0;0.3
10.25;15.9;0.3
10.30;16.3;0.3
10.35;16.3;0.3
10.40;11.9;0.3
10.45;11.5;0.4
10.50;10.0;0.4
10.55;11.0;0.4
10.60;15.6;0.4
10.65;16.0;0.4
10.70;17.4;0.5
10.75;14.8;0.5
10.80;11.4;0.5
10.85;9.0;0.5
10.90;10.3;0.6
10.95;11.7;0.6
11.00;16.2;0.6
11.05;16.8;0.6
11.10;16.3;0.6
11.15;14.2;0.6
11.20;9.8;0.7
11.25;8.7;0.7
11.30;11.5;0.7
11.35;13.4;0.7
11.40;17.6;0.7
11.45;15.8;0.8
11.50;14.0;0.8
11.55;12.5;0.8
11.60;9.5;0.8
11.65;10.3;0.8
11.70;12.3;0.9
11.75;14.6;0.9
11.80;18.1;0.9
11.85;15.2;0.9
11.90;13.3;0.9
11.95;11.1;0.9
12.00;9.4;0.9
12.05;12.5;1.0
12.10;14.1;1.0
12.15;17.2;1.0
12.20;17.1;1.0
12.25;14.7;1.0
12.30;11.8;1.0
12.35;10.3;1.0
12.40;11.8;1.0
12.45;12.2;1.0
12.50;16.0;1.0
12.55;16.0;1.1
12.60;16.3;1.1
12.65;16.0;1.1
12.70;10.3;1.1
12.75;12.4;1.1
12.80;10.6;1.1
12.85;12.4;1.1
12.90;15.9;1.1
12.95;15.0;1.1
13.00;18.0;1.1
13.05;13.4;1.1
13.10;11.8;1.1
13.15;13.4;1.1
13.20;7.6;1.1
13.25;12.6;1.1
13.30;14.6;1.1
13.35;17.5;1.1
13.40;18.4;1.1
13.45;13.3;1.1
13.50;11.7;1.2
13.55;9.0;1.2
13.60;8.5;1.2
13.65;13.8;1.2
13.70;16.3;1.2
13.75;18.6;1.2
13.80;17.9;1.2
13.85;11.7;1.2
13.90;9.3;1.2
13.95;8.9;1.2
14.00;11.1;1.2
14.05;16.0;1.2
14.10;17.1;1.2
14.15;17.4;1.2
14.20;14.1;1.2
14.25;10.8;1.2
14.30;9.2;1.2
14.35;10.1;1.2
14.40;13.3;1.2
14.45;16.7;1.2
14.50;17.5;1.2
14.55;15.2;1.2
14.60;13.1;1.2
14.65;11.0;1.2
14.70;10.1;1.2
14.75;12.5;1.2
14.80;14.4;1.2
14.85;17.4;1.2
14.90;15.7;1.2
14.95;13.4;1.2
15.00;13.4;1.2
15.05;10.7;1.2
15.10;11.8;1.2
15.15;13.5;1.2
15.20;14.9;1.2
15.25;17.4;1.2
15.30;15.7;1.2
15.35;14.2;1.2
15.40;12.6;1.2
15.45;11.9;1.2
15.50;11.1;1.2
15.55;13.6;1.2
15.60;15.2;1.2
15.65;17.0;1.2
15.70;17.0;1.2
15.75;13.1;1.2
15.80;13.1;1.2
15.85;10.5;1.2
15.90;10.3;1.2
15.95;14.4;1.2
16.00;14.2;1.2
16.05;18.0;1.2
16.10;15.8;1.2
16.15;13.5;1.2
16.20;12.7;1.2
16.25;7.4;1.2
16.30;11.5;1.2
16.35;13.6;1.2
16.40;16.2;1.2
16.45;19.5;1.2
16.50;14.8;1.2
16.55;12.7;1.2
16.60;9.7;1.2
16.65;7.9;1.2
16.70;11.7;1.2
16.75;14.9;1.2
16.80;17.9;1.2
16.85;17.5;1.2
16.90;12.8;1.2
16.95;11.6;1.2
17.00;8.7;1.2
17.05;10.1;1.2
17.10;13.1;1.2
17.15;14.8;1.2
17.20;15.6;1.2
